Simulation Time,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM9_ql,dAQM10_ql,dAQM11_ql
0.135704,0,0.0,0,0,0,0,0,0.0
0.135956,1,1.0,1,1,1,1,1,1.0
0.135956,0,0.0,0,0,0,0,0,0.0
0.136924,1,1.0,1,1,1,1,1,1.0
0.136924,0,0.0,0,0,0,0,0,0.0
0.136964,1,1.0,1,1,1,1,1,1.0
0.136964,0,0.0,0,0,0,0,0,0.0
0.137978,1,1.0,1,1,1,1,1,1.0
0.137978,0,0.0,0,0,0,0,0,0.0
0.138973,1,1.0,1,1,1,1,1,1.0
0.138973,0,0.0,0,0,0,0,0,0.0
0.138983,1,1.0,1,1,1,1,1,1.0
0.138983,0,0.0,0,0,0,0,0,0.0
0.139035,1,1.0,1,1,1,1,1,1.0
0.139035,0,0.0,0,0,0,0,0,0.0
0.13999,1,1.0,1,1,1,1,1,1.0
0.13999,0,0.0,0,0,0,0,0,0.0
0.141,1,1.0,1,1,1,1,1,1.0
0.141,0,0.0,0,0,0,0,0,0.0
0.141375,1,1.0,1,1,1,1,1,1.0
0.141375,0,0.0,0,0,0,0,0,0.0
0.142001,1,1.0,1,1,1,1,1,1.0
0.142001,0,0.0,0,0,0,0,0,0.0
0.143007,1,1.0,1,1,1,1,1,1.0
0.143007,0,0.0,0,0,0,0,0,0.0
0.143376,1,1.0,1,1,1,1,1,1.0
0.143376,0,0.0,0,0,0,0,0,0.0
0.143605,1,1.0,1,1,1,1,1,1.0
0.143605,0,0.0,0,0,0,0,0,0.0
0.144013,1,1.0,1,1,1,1,1,1.0
0.144013,0,0.0,0,0,0,0,0,0.0
0.14502,1,1.0,1,1,1,1,1,1.0
0.14502,0,0.0,0,0,0,0,0,0.0
0.14502,1,1.0,1,1,1,1,1,1.0
0.14502,0,0.0,0,0,0,0,0,0.0
0.14502,1,1.0,1,1,1,1,1,1.0
0.14502,0,0.0,0,0,0,0,0,0.0
0.147031,1,1.0,1,1,1,1,1,1.0
0.147031,0,0.0,0,0,0,0,0,0.0
0.147178,1,1.0,1,1,1,1,1,1.0
