Simulation Time,Red_fct,Pie_fct,CoDel_fct,FqCoDel_fct,Cobalt_fct,dAQM9_fct,dAQM10_fct,dAQM11_fct
17.4,13.4853,13.5332,15.8647,13.9064,15.9268,13.9097,14.058,15.4479
17.5,13.5342,13.6459,15.9095,13.9668,15.9999,13.9317,14.0608,15.549
17.6,13.5554,13.7335,15.9957,14.0175,16.0791,13.9482,14.0834,15.7241
17.7,13.582,13.7792,16.0504,14.1516,16.1335,13.9584,14.1193,15.7888
17.8,13.601,13.7858,16.1416,14.1875,16.2816,13.9595,14.1321,15.8783
17.9,13.6196,13.8412,16.2489,14.3079,16.3465,13.9766,14.1529,15.9667
18.0,13.649,13.8675,16.3354,14.3754,16.4207,13.9963,14.1854,16.0164
18.1,13.6744,13.9017,16.3818,14.3796,16.4609,14.0064,14.1932,16.0756
18.2,13.6878,13.9242,16.4687,14.4962,16.547,14.0642,14.2528,16.1251
18.3,13.704,13.986,16.5555,14.5496,16.6845,14.0802,14.2684,16.1593
18.4,13.7271,14.0268,16.6503,14.6582,16.7934,14.0846,14.2898,16.2013
18.5,13.755,14.0379,16.768,14.7044,16.866,14.1305,14.3092,16.2668
18.6,13.7812,14.1364,16.8487,14.7558,16.9914,14.151,14.3336,16.2913
18.7,13.7985,14.1989,16.8864,14.855,17.0496,14.1594,14.3416,16.4292
18.8,13.8256,14.2129,17.0321,14.8697,17.1476,14.1715,14.3493,16.4883
18.9,13.8707,14.3001,17.1235,14.9497,17.2025,14.1865,14.3858,16.5591
19.0,13.8959,14.3364,17.2004,14.9752,17.3122,14.2078,14.4238,16.6365
19.1,13.9201,14.3744,17.2596,15.0509,17.3879,14.2209,14.43,16.6759
19.2,13.9498,14.4108,17.3366,15.085,17.4574,14.2399,14.4378,16.7527
19.3,13.9571,14.4345,17.374,15.1943,17.5917,14.2622,14.469,16.8303
19.4,13.9697,14.4804,17.4712,15.2232,17.6811,14.32,14.4777,16.8513
19.5,14.0017,14.6462,17.5746,15.2275,17.7471,14.3574,14.4939,16.884
19.6,14.0349,14.7392,17.6401,15.3024,17.8029,14.3599,14.504,16.9417
19.7,14.0495,14.848,17.7219,15.3387,17.8906,14.3726,14.5203,16.9673
19.8,14.0525,14.8793,17.832,15.3589,17.9719,14.4482,14.5462,16.9814
19.9,14.1004,14.9392,17.9112,15.4262,18.0312,14.4664,14.5589,17.011
20.0,14.1239,15.0883,17.9785,15.473,18.2443,14.4967,14.5908,17.0236
20.1,14.1383,15.1357,18.2028,15.5584,18.2947,14.5101,14.6061,17.0264
20.2,14.1393,15.179,18.2674,15.6201,18.3952,14.5367,14.6243,17.064
20.3,14.212,15.223,18.5125,15.6724,18.4933,14.5566,14.6569,17.0912
