Simulation Time,Red_ql,Pie_ql,CoDel_ql,FqCoDel_ql,Cobalt_ql,dAQM9_ql,dAQM10_ql,dAQM11_ql
3.05298,0,1,0,0,0,1,0,1
3.05407,1,0,1,15,1,0,1,0
3.05507,0,14,0,1,0,10,0,10
3.05507,15,1,15,0,15,1,1,1
3.0561,1,0,1,1,1,0,0,0
3.0571,0,1,0,0,0,9,1,1
3.0571,14,0,14,14,14,1,0,0
3.05934,1,1,1,1,1,0,1,9
3.05934,0,0,0,0,0,1,0,1
3.06,1,1,1,1,13,0,1,0
3.06,0,0,0,0,1,1,0,8
3.06136,1,1,13,13,0,0,1,1
3.06136,0,0,1,1,1,8,0,0
3.063,13,13,0,0,0,1,1,1
3.064,1,1,12,12,1,0,0,0
3.064,0,0,1,1,0,7,1,1
3.06542,12,12,0,0,12,1,0,0
3.06642,1,1,1,1,1,0,1,1
3.06642,0,0,0,0,0,1,0,0
3.06747,11,11,11,1,11,0,1,7
3.06747,1,1,1,0,1,1,0,1
3.06847,0,0,0,1,0,0,1,0
3.06847,1,1,1,0,1,6,0,6
3.06957,0,0,0,11,0,1,1,1
3.07057,10,10,1,1,1,0,0,0
3.07057,1,1,0,0,0,5,1,1
3.07228,0,0,10,10,10,1,0,0
3.07328,1,1,1,1,1,0,1,1
3.07328,0,0,0,0,0,1,0,0
3.07472,9,9,9,1,9,0,1,5
3.07493,1,1,1,0,1,1,0,1
3.07493,0,0,0,1,0,0,1,0
3.07572,1,1,1,0,1,4,0,4
3.07572,0,0,0,9,0,1,1,1
3.07697,1,8,8,1,8,0,0,0
3.07797,0,1,1,0,1,3,1,3
